feature,importance
nb_0_speed_t0,895
failed_node_speed_lag1,754
rolling_std_6,538
nb_0_speed_t1,506
speed_delta_1_12,484
nb_0_speed_t3,472
speed_delta_1_3,469
rolling_mean_3,451
nb_1_speed_t0,443
mean_speed,406
rolling_mean_6,405
rolling_std_12,370
rolling_max_12,340
failed_node_speed_lag24,335
nb_1_speed_t1,321
avg_road_distance,320
nb_2_speed_t0,319
hour_sin,310
rolling_mean_12,306
speed_acceleration,303
failed_node_speed_lag6,300
hour_cos,295
std_speed,285
nb_2_speed_t12,278
nb_0_speed_t12,278
failed_node_speed_lag12,276
max_speed,262
nb_2_speed_t1,254
failed_node_speed_lag3,246
nb_1_speed_t3,245
nb_1_speed_t12,225
nb_2_speed_t3,210
rolling_min_12,181
min_speed,174
num_healthy_neighbors,112
node_degree,103
day_of_week,53
