model,failure_rate,run,mae,rmse,mape,rfs,fcr,best_iteration
Historical Mean,0.05,1,9.92947769165039,12.921517372131348,28.437973022460938,,100.0,
LOCF,0.05,1,2.927828311920166,5.613813877105713,6.628240585327148,,100.0,
LightGBM,0.05,1,2.463781435637173,4.289121442403819,5.956753055571113,,100.0,183.0
Historical Mean,0.05,2,9.867115020751953,12.764213562011719,27.464263916015625,,100.0,
LOCF,0.05,2,3.049074411392212,6.042349338531494,6.733209609985352,,100.0,
LightGBM,0.05,2,2.486051196365814,4.310887471686268,5.876761662058158,,100.0,124.0
Historical Mean,0.05,3,10.112007141113281,13.098509788513184,29.078590393066406,,100.0,
LOCF,0.05,3,3.074631929397583,5.915399551391602,7.112710952758789,,100.0,
LightGBM,0.05,3,2.519142744677453,4.34133498599106,6.239513953620194,,100.0,136.0
Historical Mean,0.05,4,9.989067077636719,12.929555892944336,27.916202545166016,,100.0,
LOCF,0.05,4,3.042900800704956,5.907611846923828,6.812272071838379,,100.0,
LightGBM,0.05,4,2.4875744998709055,4.237705650453036,5.9175059537012515,,100.0,128.0
Historical Mean,0.05,5,9.963932991027832,12.994649887084961,28.066930770874023,,100.0,
LOCF,0.05,5,3.1555094718933105,6.121062278747559,7.125371932983398,,100.0,
LightGBM,0.05,5,2.572359949321823,4.399035769997323,6.147235998452223,,100.0,237.0
Historical Mean,0.1,1,9.90731430053711,12.90682315826416,28.05624008178711,,100.0,
LOCF,0.1,1,2.9652366638183594,5.580447196960449,6.713259220123291,,100.0,
LightGBM,0.1,1,2.4596896895213574,4.207224142233555,5.86595610970557,,100.0,125.0
Historical Mean,0.1,2,9.846441268920898,12.737288475036621,27.129676818847656,,100.0,
LOCF,0.1,2,3.06630277633667,5.9773736000061035,6.889103889465332,,100.0,
LightGBM,0.1,2,2.5092918959122184,4.320666386358129,5.9155574948684,,100.0,104.0
Historical Mean,0.1,3,10.00446605682373,12.966371536254883,28.498897552490234,,100.0,
LOCF,0.1,3,3.0397017002105713,5.858526706695557,6.934024333953857,,100.0,
LightGBM,0.1,3,2.4991889462294643,4.241522796614852,6.048659593376401,,100.0,106.0
Historical Mean,0.1,4,9.95693302154541,12.931628227233887,28.192657470703125,,100.0,
LOCF,0.1,4,3.0518131256103516,5.84529447555542,6.884838581085205,,100.0,
LightGBM,0.1,4,2.507061387057799,4.342871619875456,5.9323445388395255,,100.0,147.0
Historical Mean,0.1,5,9.980745315551758,12.976558685302734,28.26853370666504,,100.0,
LOCF,0.1,5,3.1355671882629395,6.075181484222412,7.043475151062012,,100.0,
LightGBM,0.1,5,2.513560259257048,4.274207231695494,6.0186756155563845,,100.0,155.0
Historical Mean,0.2,1,9.95100212097168,12.950716018676758,28.221351623535156,,100.0,
LOCF,0.2,1,3.0753657817840576,5.884094715118408,7.0388054847717285,,100.0,
LightGBM,0.2,1,2.4741125633232297,4.297404742389679,5.934964406879184,,100.0,216.0
Historical Mean,0.2,2,9.920154571533203,12.888121604919434,28.018001556396484,,100.0,
LOCF,0.2,2,3.123403549194336,6.122528076171875,7.05853796005249,,100.0,
LightGBM,0.2,2,2.517636821308368,4.35865303756352,5.999613347252816,,100.0,126.0
Historical Mean,0.2,3,9.912726402282715,12.84549617767334,27.92589569091797,,100.0,
